text,topic,topic_int
Global Warming: Hotter Seas Cloud King Penguins’ Future,Science,2
Top White House aides indicated some companies could be exempt from a plan to impose aluminum and steel tariffs even as they left room for the president to change his plans.,Business,1
Pepsi Drops Ad Accused of Trivializing Protesters,Business,1
The investigation is intensifying. So are some of the unsavory details.,Culture,3
"A new show draws on the art and writings of Leonora Carrington and Alejandro Jodorowsky, and gives viewers a peek into an expansive world.",Culture,3
‘Weekend Warriors’ Live Longer,Science,2
Positive News for Twitter: Its First Quarterly Profit,Business,1
"The return of two beloved 2000s reality programs shows how its stars have grown up, but not outgrown where they came from.",Culture,3
"Summer Is Still Endless, Even After All These Years",Sports,0
Hallowed Be Thy Teams,Sports,0
"Winning the contest could mean a steeper increase in local housing costs over the next decade, a study finds. Nashville is already contemplating the impact.",Business,1
A handful of artists used themes from the Oscar-nominated film to create alternative posters. Here are four of the standouts.,Culture,3
"At a cost of $1.4 billion, a National Institutes of Health program may help scientists discover links between diseases, genes and lifestyle. But the project faces obstacles.",Science,2
Packers Bury Ghosts of Playoffs Past,Sports,0
"White on the Field, Blue in the Stands",Sports,0
Backers cite projects like expanding arts therapy for veterans to rebut calls for defunding the agencies.,Culture,3
"Allegations of mistreatment of women flooded the children’s publishing industry over the past week and ensnared James Dashner, the author of the “Maze Runner” series.",Business,1
"Cohabitation is on the rise among older people, demographers report, driven by both personal and economic considerations.",Science,2
Many women who work for professional sports teams dread being sent to interact with fans at games and promotional events: “It’s literally like you’re calling for an escort.”,Sports,0
"Toni Nadal, the uncle and primary coach of the 14-time Grand Slam champion Rafael Nadal since he was 3, plans to step down at the end of the year.",Sports,0
"When insomnia persists, it can wreak physical, emotional and social havoc.",Science,2
‘The Americans’ Season 5 Finale Recap: Deus ex Kimmy,Culture,3
“I have to beat Serena to win a Grand Slam” — that common belief doesn’t apply these days. Who’s the favorite now?,Sports,0
"A program uses data Uber collected to evade law enforcement in cities that resist the ride-hailing service, some current and former Uber employees said.",Business,1
Slowed Growth  In the Economy  May Be a Blip,Business,1
White House Edges Back From Brink of Trade War,Business,1
President Picks TV Commentator as His Economic Adviser,Business,1
Nascar’s Biggest Star Decides to Stop Driving,Sports,0
A Memory Jolt Raises Hopes,Science,2
"Payrolls grew by 200,000 last month and hourly earnings were up 2.9 percent in a sign that American workers were benefiting from a tight labor market.",Business,1
"“I mean, he might as well declare it National Bankrupt Casino Awareness Month,” Jimmy Kimmel said.",Culture,3
A new woman in town is really the Greek god Dionysus incarnated as a gardener with a mission in this eco-play at Two River Theater in New Jersey.,Culture,3
Some Sugar. Could Use More Spice.,Culture,3
"Argentines Find a Home, and Success, in M.L.S.",Sports,0
"Holding its draft in the home of the underdog, Philadelphia, the league is faced with an undercurrent of worrisome trends, including a startling decline in TV viewership.",Sports,0
"In his one-man show at the BAM Harvey Theater, Mr. Lepage reconstructs his childhood in 1960s Quebec City.",Culture,3
"Owners are increasingly interested in their pets’ intelligence, giving researchers eager recruits in the relatively new field of canine cognition.",Science,2
Protesting Artists Step Off the Streets and Into the Gallery,Culture,3
"The deal, which runs through 2021, guarantees the players improved pay and bonuses, but not the equal pay with the men’s team they had sought.",Sports,0
"‘Here and Now’ Season 1, Episode 9: Future Tense",Culture,3
Lost and Found in a Magic Tale of Nomads,Culture,3
TNT’s first proper foray into the prestige-TV scrum is stunning in its scope. But can it stand apart from all the other serial-killer period dramas?,Culture,3
"Teachers, doctors and others in the public service loan forgiveness program seek guidance on whether they are truly eligible to erase their student loan debt.",Business,1
‘Feud: Bette and Joan’ Episode 6 Recap: Midnight Descending,Culture,3
"Workers Get ‘Excitement,’ Shareholders Get the Cash",Business,1
Why the Markets Are Defying Forecasts of Gloom and Doom,Business,1
Theater Leader Is Placed  On Leave,Culture,3
"Many Americans are just beginning to climb out of the Great Recession, yet policymakers are debating whether the economy is on the cusp of overheating.",Business,1
"‘Oh, God, You, Too?’ More Women Accuse Architect of Misconduct",Culture,3
"‘Legion,’ Season 1 Finale: The Dork Side of the Moon",Culture,3
"At its core, this week’s episode poses a question about love: Can two people find sustenance in a marriage built on lies?",Culture,3
"Building, and Rebuilding",Sports,0
"Grocers Move to Demystify ‘Best Before,’ ‘Use By’ Labels",Business,1
"The artist worked in secret on his first love, painting, for his new show. This is the anti-Venice, he says.",Culture,3
"Animals Are Conflict Victims, but All Is Not Lost",Science,2
The most immediate fear: A sharp falloff in bond prices would rattle equity markets that are now trading at record highs.,Business,1
Snow’s Dangers for Men,Science,2
"My, What Sharp Teeth",Culture,3
"Atlético will leave the decrepit Estadio Vicente Calderón, where it has played since 1966, in the next few weeks for its new digs. But the team that lives in the shadow of Real Madrid is feeling pangs of nostalgia.",Sports,0
The new HBO series from the creator of “Six Feet Under” promises a deep dive into liberal guilt during the age of Trump. It also promises to be very weird.,Culture,3
A Fine How-Do-You-Do,Sports,0
"“Baby Jane” wraps up, and the tension sets in.",Culture,3
‘A Threat to a Monopoly’,Sports,0
"‘Mockingbird’ Author’s Will Is Unsealed, but the Mystery of Her Life Only Deepens",Culture,3
"If the tariffs stand, along with China’s retaliatory moves, they could damage industries that have relied on a global supply chain for their recovery.",Business,1
"A familiar face returns, and he’s on a collision course with Mike. But who’s hunting whom?",Culture,3
Scientists and National Institute of Health officials waged a concerted campaign to obtain funding from the alcohol industry for research that may enshrine alcohol as a part of a healthy diet.,Science,2
Should Children Play Football?  Family Courts Act as Referees,Sports,0
Investigating  Secrets  Of a Portrait,Culture,3
"The writer’s Twitter post on Friday drew widespread condemnation, and Ms. Rich subsequently apologized for it.",Culture,3
Final Four Contenders Reflect Thinning Ranks of Female Coaches,Sports,0
"Silicon Valley,  Wary of Trump,  Warms to Him",Business,1
"The Chinese Ministry of Commerce announced duties of up to 25 percent on American goods, including pork, retaliating against steel and aluminum tariffs.",Business,1
‘He Grabbed Me’: Women Allege Sex Harassment by Star Architect  ,Culture,3
Harvey Fierstein stars in Martin Sherman’s poignant new play about the relationship between a young Londoner and an American expat.,Culture,3
"Cross-country skiers require, on average, more daily calories than any other type of athlete. But the constant need to eat can take over their lives.",Sports,0
"This week’s episode was Paige-free, leaving more room for Henry and an interlude in Massachusetts.",Culture,3
A small discrepancy in the value of a long-sought number has fostered a debate about just how well we know the cosmos.,Science,2
32 Billion,Science,2
‘These Eagles Are More Than Just a Symbol’,Science,2
"Oh, Come On. Is That All There Is?",Culture,3
"After an investigation into a sales scandal at the bank, the board pinned most of the blame on its former chief executive and its former head of community banking.",Business,1
"‘RuPaul’s Drag Race’ Season 10, Episode 2: Conflama Is Abuse",Culture,3
Paulo Dybala of Juventus will face off against Barcelona’s Lionel Messi on Tuesday — a chance to see how close the resemblance between the two Argentines has become.,Sports,0
"‘Star Trek: Discovery’ Season 1, Episode 13: Another Death, Another Twist, Another Shrug",Culture,3
"As It Turns Out, Baseball Really Is Brain Science",Sports,0
Grieving a Miscarriage,Science,2
"In Australia, Arsonists May Have Wings",Science,2
Our Parents’ Heart Health Mistakes,Science,2
"As a massive manufacturing exporter, the aerospace giant is particularly vulnerable to retaliation from China, a major customer.",Business,1
Eat: Diet Soda Tied to Stroke,Science,2
The state’s highest court made it much harder for companies like Uber to classify workers as contractors rather than employees.,Business,1
Pressed Into Caregiving Too Soon,Science,2
Eat: Soda Is Tied to Brain Aging,Science,2
Snap at the Center of a Linguistic Revolution,Business,1
"The nation’s public health agency says a workshop was scheduled months ago, before President Trump’s recent tweets about nuclear buttons and North Korea.",Science,2
"Contemporary womanhood has its challenges, and this play explores many of them, like sexual harassment, eating disorders, Ophelia complexes and more.",Culture,3
"No sign of “Saul,” but Jimmy’s right where we left him. As for the proprietor of a certain fast-food chicken chain ...",Culture,3
"Thousands of electronics enthusiasts flooded the trade show to see the latest devices, but the darling of the event was the artificial intelligence software that helps these products run.",Business,1
A huge block in the first half set the tone in a game in which the Tar Heels were forced out to the perimeter and could not catch up.,Sports,0
The top players in the women’s game may sit out for the home team at the world championships this month. Their fight over pay is nothing new.,Sports,0
The Davis Papers: Harvard Gets Them,Culture,3
‘The Good Fight’ Recap: On the Other Side,Culture,3
"After some F.C. Porto ultras joined a lower-division team in Portugal, opponents — citing on-field violence and off-field threats — boycotted it.",Sports,0
Aging: Air Pollution Tied to Dementia,Science,2
"Yesterday’s News Today: Deep, Informed, Accurate and Inky",Business,1
"IWasPoisoned.com, which lets users submit anonymous reports of food poisoning, has become a controversial powerhouse in the restaurant industry.",Business,1
Roxanne Gets  Her Revenge,Culture,3
"The former Fox News star, who called her time away from TV “awesome,” will return Sunday with “Sunday Night With Megyn Kelly.”",Business,1
"With the U.S. and China vying for tech leadership, the two companies argue their union is crucial in the race to develop faster mobile internet.",Business,1
"In Usual Style, Yankees Try to Groom a Prospect",Sports,0
"Volatile wages, owing in part to undependable schedules, are one factor increasing economic anxiety even with unemployment at a post-recession low.",Business,1
"Ryan Murphy’s latest venture understands that, as one character puts it: “Feuds are never about hate. Feuds are about pain.”",Culture,3
Gasps in Courtroom as Hannity Is Named as Cohen’s Secret Client,Business,1
The Canadians modernized ice dancing and skated their way into the history books Tuesday at the Winter Games.,Sports,0
This Hummingbird Chirps Like an Insect. Can It Hear Its Own Sound?,Science,2
"Being Back in Black,  in a White Snowscape",Culture,3
Serena Joy gets an origin story that proves that she’s in a prison of her own making.,Culture,3
Youths Dial Up a New High,Science,2
"Until players sign, agreements are only as solid as the word of the parties, causing one coach to ask: “What’s happening with the word ‘commitment’?”",Sports,0
"With the beautifully performed but overplotted “Whirligig,” Hamish Linklater considers the forms and consequences of addiction.",Culture,3
‘The Affair’ Season 3 Finale: A Day in Paris,Culture,3
"Virtual Coins, Real Resources",Business,1
"Bolstered by newfound economic strength, European leaders, steered by the French president, Emmanuel Macron, are pledging to further integrate the continent.",Business,1
"The Briton ran a mile in 3:59.4, becoming the first man ever to do so, breaking through a mystical barrier and creating a seminal moment in sports history.",Sports,0
"‘Homeland’ Season 6, Episode 1: Carrie’s a Civilian — and a Brooklynite",Culture,3
Swindled on Facebook By Fake Marks and Sheryls,Business,1
Intellectual Caught Up In a Furor,Culture,3
Nutrition: Fruit and Diabetes Risk,Science,2
Wall Street Shudders As Trump Muses,Business,1
"The maneuver is good for companies’ stock prices, but it may not help the overall economy — undercutting a central goal of the tax cuts.",Business,1
"Investing Giant Casts Its Lot With Machine, Not Human, Minds",Business,1
A Dropped Connection,Sports,0
"Keys, a 22-year-old American seeded 17th, overwhelmed Caroline Garcia to continue a dominant run in Melbourne. She will face Angelique Kerber next.",Sports,0
A Star Is Born (and Born and Born),Culture,3
Older men and women who ate yogurt daily had a lower risk of osteoporosis than those who did not eat yogurt.,Science,2
The Naked and the Not-Quite Dead,Culture,3
Want guns out of your stock portfolio? Sick of bad actors like Wells Fargo and Equifax? You’ll face at least seven challenges when making an investing plan.,Business,1
Infrastructure To Rely on Cash From Investors,Business,1
"‘Better Call Saul’ Season 3, Episode 7 Recap: Jimmy Goes Backward",Culture,3
"The company’s stock has declined precipitously since hitting its peak in early February, battered by disclosures about improper use of its data.",Business,1
Scientists Find Jawbone in Israel of Earliest Modern Human Out of Africa,Science,2
Global Growth Wave Reverses Economic Slump,Business,1
"‘The Alienist’ Season 1, Episode 5: Look at Your Bird, Laszlo",Culture,3
Seeker of Alien Worlds,Science,2
"A Times reporter and his sons got an education in soccer, and swearing, in visits to Tottenham’s White Hart Lane.",Sports,0
"The e-commerce giant has won two patents for a tracking technology that can nudge a human hand in the right direction — toward a warehouse bin, say.",Business,1
"Women at Nike  Revolt, Forcing  Change at Last",Business,1
Snubbed Anthony Weighs a Clean Break,Sports,0
Doctors; Pay Drives Decision to Operate,Science,2
"At least six, including California, New York and Washington, are considering bills to restore protections that the F.C.C. ended, but political and legal obstacles may stand in the way.",Business,1
The decision to move the Raiders to Las Vegas from Oakland presents conflicts for a league that has long opposed gambling.,Sports,0
Industry Tries to Reframe Coal’s Image,Business,1
A Ski Powerhouse Fueled by Togetherness and Taco Night,Sports,0
You’re Going to Die. Just Face It Already.,Culture,3
Pregnancy: Heartburn Drugs and Asthma,Science,2
Policy vs. Prevention,Science,2
"First Comes Love. Then What, Exactly?",Culture,3
Security Officer To Exit Facebook As Outcry Grows,Business,1
"After a trip to sunny Miami raised eyebrows, the Giants’ receivers landed with a thud in chilly Green Bay.",Sports,0
"‘The Walking Dead’ Season 8, Episode 13 Recap: Suffer the Little Children",Culture,3
"In evening telephone calls with the president of Mexico and the prime minister of Canada, President Trump said he would quickly start the process of renegotiating Nafta — not end it.",Business,1
"‘The Alienist’ Season 1, Episode 2: Darkness Descends",Culture,3
"""March of the Penguins” showed penguins going up to 115 days without food, but new research suggests that many hunted for food during breeding season.",Science,2
More Laborers  See Pay Gains  As Jobs Climb,Business,1
"‘You Know, I Feel I’m in Japan’",Culture,3
"“Beardo,” the musical, is a louche, lewd and assertively weird fantasia on the life of Rasputin, at St. John’s Lutheran Church in Brooklyn.",Culture,3
"In an interview seven days before leaving office, Mr. Obama talked about the role books have played during his presidency and throughout his life.",Culture,3
"This week RuPaul proclaimed that “to separate the pros from the cons,” the queens needed to concentrate on branding themselves.",Culture,3
"While many fans defended Mr. O’Reilly after his departure from Fox News, some network viewers said harassment accusations against him were worrisome.",Business,1
Serving Ham on Soignée Silk,Culture,3
The previous episode centered around Al’s failures. This week it was Earn’s turn.,Culture,3
The exposure of multiple settlements involving sexual harassment allegations against Mr. O’Reilly brought an abrupt end to his two-decade career at Fox.,Business,1
"And no surprise, things seem to be warming up between Carrie and Quinn.",Culture,3
Most patients don’t have any idea what they have agreed to let their doctors do to them.,Science,2
Mr. Kimmel said that the president didn’t seem interested in creating an orderly work environment at the White House.,Culture,3
This is the strongest episode of “The Handmaid’s Tale” yet but it’s held back from greatness by a near-fatal flaw.,Culture,3
"The Metropolitan Opera is struggling on several fronts. But if it keeps presenting work on this level, all should be fine.",Culture,3
A Game Fails to Live Up to a Rivalry,Sports,0
"Guillermo del Toro won best director, Frances McDormand won best actress and Gary Oldman won best actor for “Darkest Hour.”",Culture,3
Money: Spending More Doesn’t Help,Science,2
"‘The Walking Dead’ Season 8, Episode 15 Recap: Cleaning House",Culture,3
"Men whose prostate cancer recurs after surgery are more likely to survive if, along with the usual radiation, they take drugs to block male hormones.",Science,2
"Stocks gyrated through the day, but ended on an upswing, about 1.4 percent higher. In global markets, Chinese stocks were among the biggest casualties.",Business,1
A well-written message to company executives can solve a host of consumer problems. Just follow the model laid out 10 years ago — and use it sparingly.,Business,1
"A Parent and Child Bond, and It’s Complicated",Culture,3
Disenchantment for Aide Grew With the Spotlight,Business,1
CES 2018: What the Gadget Fest Looks Like in ‘the Year of A.I.’,Business,1
Elon Musk disrupted the business of sending rockets into space and has now achieved a milestone in spaceflight by launching the most powerful rocket currently operating in the world.,Science,2
"‘The Americans’ Season 5, Episode 5 Recap: Whole Lotta Shakin’",Culture,3
"‘Billions’ Season 3, Episode 4 Recap: Sealed With a Kiss",Culture,3
"Before the dust has settled on a plan to introduce sweeping tariffs on foreign metals, the White House is readying another major trade action.",Business,1
"Department Stores, Once Anchors at Malls, Become Millstones",Business,1
Labor Abroad May Suffer as U.S. Turns Inward,Business,1
"Astronomers rarely see the beginnings of these explosions, but an Argentine amateur’s lucky picture helped them study the start of a massive star’s violent death.",Science,2
The Alliance Theater has brought “Native Guard” to an Atlanta history museum in the thick of debate about Confederate monuments and the South’s past.,Culture,3
Trouble Knows No Boundaries,Culture,3
A former employee’s blog post has raised questions about the limits of meritocracy at Uber and how much executives knew about the treatment of employees.,Business,1
"This week’s maxi-challenge had the queens writing and performing commercials for dating apps geared toward “lonely, underserved consumers.”",Culture,3
"‘The Affair’ Season 3, Episode 8: People See What They Want to See",Culture,3
The Royal & Ancient Golf Club and the U.S. Golf Association spent more than five years trying to modernize the Rules of Golf.,Sports,0
"It’s a wonderful feeling to get hoodwinked by masterly plotting, and this episode is the long-term play that has been brewing all season long.",Culture,3
"The Madness, and the Beauty, of Race",Culture,3
"The figure skater, who used to struggle with unhealthy eating, has a passionate social media following that includes frequent comments on his chiseled physique. Here is a look at his workout regimen.",Sports,0
"Snowy days, and the days after snowstorms, bring a spike in deadly heart attacks in men.",Science,2
"Trade Deals Still in Motion, U.S. or No U.S.",Business,1
"The exclusive Scottish club, established in 1744, may have chosen pragmatism over progress: Had it not voted to do so, it would be taken out of the rotation to host the British Open.",Sports,0
Some economists say the recovery could continue for years. But many see the seeds of the next crisis being sown in government policy choices.,Business,1
"Virginia, with a smothering defense and the pace of a manatee, is the team to beat in the N.C.A.A. tournament.",Sports,0
"Nick Foles was named M.V.P. of the Super Bowl, but Brady was exceptional in defeat.",Sports,0
"To reduce needless waste and end confusion over differing language, two food industry trade groups and Walmart have agreed on only two basic labels.",Business,1
"Payroll expansion was far short of February’s torrid pace and weaker than economists expected, but still yielded the 90th straight month of job gains.",Business,1
"For Mets, It’s Injury After Injury, Year After Year",Sports,0
Some people with early-stage Alzheimer’s disease showed improved physical abilities and slowed memory loss from a walking program.,Science,2
"As Facebook reels from a privacy scandal, some of its most popular users are lashing out over declining traffic, policy changes and financial complaints.",Business,1
Bracketology comes with many assumptions and suppositions. Don’t fall into these traps.,Sports,0
Investors appear to be struggling to anticipate the outcome of a tit-for-tat tariff exchange between the world’s two largest economies. Remarks by the Fed chairman indicated that the investors aren’t alone.,Business,1
This week’s episode was tense and poetically gruesome — and the best of the series to date.,Culture,3
The former member of the United States national team is taking an aggressive outsider approach in his campaign to be president of U.S. Soccer.,Sports,0
There’s nothing worse than that guy yammering about his epic marathon experience. But I really want to to tell you about my epic marathon experience ...,Sports,0
The two companies are betting that regulators will finally allow the American wireless market to shrink to just three national players.,Business,1
"The last time a Hispanic actor was nominated for an Academy Award was 2012 and, according to a study, only 3 percent of speaking characters in films are Latino.",Business,1
"The Mexican salamander has largest genome ever sequenced, which may account for its unique regenerative abilities.",Science,2
Which underdog will shake up the tournament? Here are six upsets we think can happen.,Sports,0
Draw a Leader. What’s She Like? Trick Question!,Science,2
Newly released court documents reveal that the singer’s home was strewn with narcotic painkillers for which he did not have prescriptions.,Culture,3
Gas was seen as a bridge from coal to an alternative-energy future. Regulatory moves to speed that transition have unsettled the utility industry.,Business,1
Low Oil Prices Spur the Saudis To Play the Field,Business,1
The I.O.C. wants Russia back. The World Anti-Doping Agency and track and field’s governing body want the country to admit to state-sponsored doping.,Sports,0
Trump Blocks Overseas Takeover of Qualcomm,Business,1
"The Yankees have the best record in the majors and are getting career-best performances up and down the roster. Can they sustain it? “I feel like we can play this way,” Joe Girardi said.",Sports,0
"This London stage and television star gets inside your head during his enthralling, baffling one-mentalist show.",Culture,3
"After spending the past few weeks on the Alexandrians’ efforts to organize an alliance to battle the Saviors, the show spent Sunday with the Kingdom.",Culture,3
Mike Myers’s Dr. Evil Tells Jimmy Fallon He Was Fired From the White House,Culture,3
Acupuncture produced changes in the brain and nerves that produced lasting relief from wrist pain.,Science,2
"Asne Seierstad’s new book is about sisters who went to Syria without telling a soul, and their father’s attempt to get them back.",Culture,3
"This week’s episode was quiet, dark and ominous.",Culture,3
"Westbrook's rather outrageous regular season must be considered the single greatest season by any athlete ever, right? No? Here are some other contenders.",Sports,0
Nutrition: Fiber May Help Knee Arthritis,Science,2
Student Aid System Just Got Even Scarier,Business,1
Red Meat Tied to 8 Diseases,Science,2
"Amid Populist Fury, Elite Mull Inequity, but Avoid Talk of Sacrifice",Business,1
"After 11 months as chief, Jim Hackett has yet to satisfy those looking for a clear articulation of a strategy. But big moves could be in the offing.",Business,1
"‘The Alienist’ Season 1, Episode 4: Onions and Carrots",Culture,3
Colbert and other late-night hosts were amused but not surprised by Stephanie Clifford’s “60 Minutes” interview.,Culture,3
Was Your Laptop Stolen? All Is Not Necessarily Lost,Business,1
Markets Tumble as Jitters Over Potential Trade War Grow,Business,1
Indians’ First Roster Cut of 2019: Chief Wahoo,Sports,0
"After ‘Awesome’ Break, Kelly Makes Her Debut As Pillar of NBC’s Plans",Business,1
"In an overstuffed one-man show, Modesto Jimenez recalls a personal journey that includes gang life, a liberal-arts college and experimental theater.",Culture,3
Tugging on the Reins Of Facebook’s Power,Business,1
"Sharapova, who recently returned from a doping suspension, now has no way of entering the French Open, which she has won twice.",Sports,0
"Amy Krouse Rosenthal, Children’s Author, 51",Culture,3
"“This is like the series finale of a TV show where they try to tie all the different plot lines together,” the “Late Night” host said.",Culture,3
An Embrace on a Grim Day,Culture,3
Forget Fireworks; On-Field Drama Revives the Cup,Sports,0
Fitness App Doesn’t Sweat The Details,Business,1
"‘Legion’ Season 1, Episode 2: Memory Loss",Culture,3
"Big Footprints: On a Scottish Isle, Signs of a Playground For Dinosaurs",Science,2
Johnny Cash’s Poems Get a Second Life as Songs,Culture,3
A Stroke Treatment Mired in Controversy,Science,2
Trump’s Tariffs Make Boeing a Potential Target in a Trade War,Business,1
"‘Homeland,’ Season 6, Episode 8: The Never-Ending Trials of Quinn",Culture,3
Have You Seen ‘A Wrinkle in Time’? Let’s Talk.,Culture,3
Why the Markets Are Defying Forecasts of Gloom and Doom,Business,1
5G Cell Service Is Coming. Critics Fear the Stations Will Look Like ‘a Medusa.’,Business,1
'The Good Fight’ Season 1 Finale Recap: Trojan Horses,Culture,3
A Flashier Cricket Faces the Specter of Doping,Sports,0
"Delivering a baby before 37 weeks of pregnancy is associated with later-life heart problems, even when a woman has no other risk factors.",Science,2
"I visited a dead-quiet room at the Guggenheim as part of “PSAD Synthetic Desert III,” an installation by Doug Wheeler.",Culture,3
Obese people who diet often regain the weight because their metabolic rate drops. That doesn’t happen with bariatric surgery.,Science,2
The landmark settlement between Wells Fargo and the Fed shows regulators’ new emphasis on making board members responsible for their institutions’ conduct.,Business,1
Track’s Hormone Hurdle for Women,Sports,0
"Supporters cheered a plan to spend $1 trillion on infrastructure, but the proposed budget slashes funding.",Business,1
The photo-taking crowds that surround Leonardo da Vinci’s masterpiece at the Louvre exemplify how the digital generation experiences artworks.,Culture,3
Investors Fear End Of Binge On Bonds,Business,1
"Neymar showed why there is no denying his greatness on Wednesday, fueling the greatest comeback in UEFA Champions League history.",Sports,0
Children’s Book Sector Reckons With #MeToo,Business,1
The N.H.L.’s Problem With Science,Sports,0
"The Mate 10 Pro from Huawei, the Chinese manufacturer, has a great camera and better battery life than competitors. But American carriers aren’t selling it.",Business,1
Infrastructure Fund Is Slow To Equal Hype ,Business,1
"Whether Brexit or Brazil, scandal or crisis, what seems momentous news can be shaky ground for investment decisions, as some hedge funds have found.",Business,1
The parent of the messaging app Snapchat reported earnings that missed Wall Street expectations in almost every regard.,Business,1
The question of whether the benefit from viewing a da Vinci is different from enjoying a visit to Pornhub or McDonald’s is dividing psychologists and neuroscientists.,Science,2
"The Robots Behind Fast, Cheap Shipping",Business,1
Hallowed Be Thy Teams,Sports,0
Wired to Be Besties,Science,2
"As speculation shifts to a potential deal with the Clippers, a look at the hurdles the Knicks would have to clear to trade their highly paid forward.",Sports,0
"By measuring cortisol levels in hair, scientists confirmed a link between long-term stress and obesity.",Science,2
A Princess (Maybe)  With an Identity Crisis,Culture,3
Navigating the Emergency Room,Science,2
Sea Legs: These Skates Are Made for Walking,Science,2
Nadezhda Sergeeva is the second Russian athlete at the Games to test positive for a banned substance. Will Russia get its flag back now?,Sports,0
One family explains their child’s change to ‘her true self.’,Science,2
Tough Lesson for Teachers,Business,1
"A species of pitcher plant found in Singapore isn’t very good at dissolving the prey it catches, but it gets nutritional help from worm larvae that live and eat within its maws.",Science,2
"The program was ordered to vacate 123 victories, including two trips to the Final Four, as punishment for a case involving players and prostitutes.",Sports,0
"Rhyme Gone Wild, in a 1738 Kind of Way",Culture,3
"‘Homeland,’ Season 6, Episode 9: Why Is Everyone Stating the Obvious?",Culture,3
"The superstar tenor appeared at Carnegie Hall on Saturday night, winning cheers despite vocal glitches.",Culture,3
"In a Cockroach Genome, ‘Little Mighty’ Secrets",Science,2
The company’s successful start could revive a moribund market for new stocks and may draw out other private tech giants.,Business,1
"Vocalists delivered welcome surprises during the 100-plus-set NYC Winter Jazzfest Marathon, from Claudia Acuña to Sara Serpa to Jazzmeia Horn.",Culture,3
"From the 16th to the 20th centuries, the full-length portrait was the most expensive form of representation money could buy, conferring instant status.",Culture,3
"Bueller? Bueller? No, Satan",Culture,3
Philip’s existential crisis reached what looked like a tipping point this week.,Culture,3
"Wall Street’s up and downs have little impact on the income or wealth of most Americans, despite the bromides of politicians on both sides of the aisle.",Business,1
This week’s episode questioned whether empathy remains a viable mode of personal or political action.,Culture,3
"On “The Daily Show,” Mr. Noah said that Congress handles Facebook “the way rich white people punish their kids.”",Culture,3
N.F.L. vs. Politics Has Been Battle All Season Long,Sports,0
Baseball’s Too Slow. Here’s How You Fix It.,Sports,0
"Ditch the Wheelchair, or Find a New Place",Science,2
The author Katherine Rundell has repurposed some of Saki’s anarchic short stories for a 21st-century theater audience.,Culture,3
"Classic Game, But the Focus Is on a Referee",Sports,0
"Black G.I.s, White Britons and a True Tale of Tragedy",Culture,3
